algorithm,target_update_interval,seed,training_step,q_upper,Avg_Reward,Avg_Abs_Diff
DQN,50,10,1000,100,9.666666666666666,-9.239344
DQN,50,10,2000,100,132.0,-54.733997
DQN,50,10,3000,100,165.33333333333334,-41.996433
DQN,50,10,4000,100,252.33333333333331,-34.4444
DQN,50,10,5000,100,225.66666666666663,-6.4994736
DQN,50,10,6000,100,260.0,21.600641
DQN,50,10,7000,100,180.0,63.36793
DQN,50,10,8000,100,204.33333333333331,100.028564
DQN,50,10,9000,100,177.66666666666666,151.28633
DQN,50,10,10000,100,237.33333333333331,198.12715
DQN,50,10,11000,100,202.66666666666663,259.62082
DQN,50,10,12000,100,299.0,317.25107
DQN,50,10,13000,100,269.6666666666667,389.07092
DQN,50,10,14000,100,297.3333333333333,459.0752
DQN,50,10,15000,100,275.3333333333333,531.9512
DQN,50,10,16000,100,295.6666666666667,613.6259
DQN,50,10,17000,100,321.6666666666667,681.2983
DQN,50,10,18000,100,306.0,767.8035
DQN,50,10,19000,100,311.6666666666667,853.44775
DQN,50,10,20000,100,291.3333333333333,936.93414
DQN,50,10,21000,100,258.0,1016.54144
DQN,50,10,22000,100,286.3333333333333,1078.2402
DQN,50,10,23000,100,300.3333333333333,1161.2357
DQN,50,10,24000,100,298.3333333333333,1216.6625
DQN,50,10,25000,100,289.3333333333333,1261.3809
DQN,50,10,26000,100,283.6666666666667,1311.6708
DQN,50,10,27000,100,313.6666666666667,1332.5983
DQN,50,10,28000,100,283.3333333333333,1348.1987
DQN,50,10,29000,100,307.6666666666667,1355.2362
DQN,50,10,30000,100,290.6666666666667,1332.6095
DQN,50,10,31000,100,289.3333333333333,1312.4087
DQN,50,10,32000,100,246.33333333333331,1289.782
DQN,50,10,33000,100,230.0,1242.017
DQN,50,10,34000,100,229.0,1213.9948
DQN,50,10,35000,100,203.0,1169.6278
DQN,50,10,36000,100,190.0,1118.972
DQN,50,10,37000,100,180.33333333333331,1062.232
DQN,50,10,38000,100,193.33333333333331,990.5682
DQN,50,10,39000,100,207.0,922.7714
DQN,50,10,40000,100,152.33333333333334,872.4411
DQN,50,10,41000,100,149.66666666666666,804.92865
DQN,50,10,42000,100,165.66666666666666,739.07666
DQN,50,10,43000,100,160.33333333333334,664.43207
DQN,50,10,44000,100,169.0,593.4853
DQN,50,10,45000,100,156.0,526.37256
DQN,50,10,46000,100,156.66666666666666,493.15958
DQN,50,10,47000,100,174.0,441.25552
DQN,50,10,48000,100,243.0,385.71545
DQN,50,10,49000,100,198.33333333333331,354.12497
DQN,50,10,50000,100,261.6666666666667,316.65503
DQN,50,10,51000,100,121.33333333333331,311.221
DQN,50,10,52000,100,128.66666666666666,290.00986
DQN,50,10,53000,100,120.33333333333331,274.954
DQN,50,10,54000,100,114.33333333333331,255.02406
DQN,50,10,55000,100,117.0,233.61671
DQN,50,10,56000,100,121.0,207.7841
DQN,50,10,57000,100,117.0,193.67744
DQN,50,10,58000,100,117.33333333333331,183.37605
DQN,50,10,59000,100,122.33333333333331,168.57753
DQN,50,10,60000,100,122.33333333333331,158.18494
DQN,50,10,61000,100,123.66666666666669,144.3298
DQN,50,10,62000,100,1780.3333333333333,103.93972
DQN,50,10,63000,100,1138.0,100.894226
DQN,50,10,64000,100,2084.333333333333,85.63205
DQN,50,10,65000,100,2164.0,75.875465
DQN,50,10,66000,100,3000.0,71.42401
DQN,50,10,67000,100,3000.0,71.27818
DQN,50,10,68000,100,3000.0,71.57861
DQN,50,10,69000,100,3000.0,70.949394
DQN,50,10,70000,100,3000.0,69.54942
DQN,50,10,71000,100,3000.0,69.7821
DQN,50,10,72000,100,3000.0,70.96946
DQN,50,10,73000,100,3000.0,68.75922
DQN,50,10,74000,100,3000.0,64.65871
DQN,50,10,75000,100,3000.0,60.5201
DQN,50,10,76000,100,771.6666666666666,54.484875
DQN,50,10,77000,100,3000.0,49.913357
DQN,50,10,78000,100,524.0,45.781734
DQN,50,10,79000,100,270.3333333333333,48.941776
DQN,50,10,80000,100,231.66666666666663,49.852478
DQN,50,10,81000,100,223.66666666666663,53.027424
DQN,50,10,82000,100,168.33333333333334,67.9002
DQN,50,10,83000,100,221.66666666666663,64.42104
DQN,50,10,84000,100,3000.0,55.904003
DQN,50,10,85000,100,882.0,54.1182
DQN,50,10,86000,100,220.66666666666663,57.83722
