algorithm,target_update_interval,seed,training_step,q_upper,Mean_Q,Mean_Excess,Mean_Violtaing_Excess,Mean_Over_Violation_Rate,Mean_Under_Violtaion_Rate
DDQN,50,10,1000,100,-0.000309144,0.0,,0.0,0.9873814229249012
DDQN,50,10,2000,100,16.179468,0.0,,0.0,0.0
DDQN,50,10,3000,100,30.531725,0.0,,0.0,0.002490118577075099
DDQN,50,10,4000,100,40.877457,0.0,,0.0,0.10951581027667984
DDQN,50,10,5000,100,52.57753,0.0,,0.0,0.1774901185770751
DDQN,50,10,6000,100,67.27561,2.6269848,5.532106,0.4748616600790514,0.2124308300395257
DDQN,50,10,7000,100,86.453896,20.200294,31.698532,0.6372628458498024,0.22018774703557312
DDQN,50,10,8000,100,111.3683,43.448162,61.230385,0.7095849802371541,0.20550395256916995
DDQN,50,10,9000,100,140.23517,71.68237,95.28024,0.7523320158102766,0.19199604743083004
DDQN,50,10,10000,100,176.34998,107.51811,136.90889,0.7853260869565217,0.1783102766798419
DDQN,50,10,11000,100,219.27095,150.50781,184.20982,0.8170454545454545,0.16295454545454546
DDQN,50,10,12000,100,272.38242,203.7321,239.22871,0.8516205533596838,0.1432905138339921
DDQN,50,10,13000,100,326.33182,259.61234,298.88022,0.8686166007905138,0.13518774703557312
DDQN,50,10,14000,100,385.695,320.84967,363.64642,0.8823122529644268,0.12650197628458498
DDQN,50,10,15000,100,449.99756,388.0431,436.26993,0.8894565217391305,0.12535573122529645
DDQN,50,10,16000,100,506.8463,447.643,498.50314,0.8979743083003953,0.12095849802371542
DDQN,50,10,17000,100,566.0064,510.28775,569.3493,0.8962648221343874,0.12463438735177866
DDQN,50,10,18000,100,639.8152,586.7295,649.4047,0.9034881422924901,0.12060276679841897
DDQN,50,10,19000,100,695.54926,645.0429,712.73126,0.9050296442687747,0.12023715415019763
DDQN,50,10,20000,100,766.5263,718.19666,780.22955,0.920494071146245,0.10786561264822134
DDQN,50,10,21000,100,831.63776,784.5148,842.91046,0.9307213438735178,0.09905138339920949
DDQN,50,10,22000,100,896.9579,852.4433,905.66455,0.9412351778656126,0.09035573122529644
DDQN,50,10,23000,100,952.3375,910.14966,966.5982,0.9416007905138339,0.08977272727272727
DDQN,50,10,24000,100,997.8427,957.61725,1018.2708,0.9404347826086956,0.09149209486166007
DDQN,50,10,25000,100,1032.7488,993.26733,1061.163,0.9360177865612648,0.09297430830039526
DDQN,50,10,26000,100,1073.6509,1035.2639,1114.6675,0.9287648221343874,0.09779644268774704
DDQN,50,10,27000,100,1106.6854,1069.31,1151.423,0.9286857707509881,0.09738142292490119
DDQN,50,10,28000,100,1140.0939,1103.5465,1189.6428,0.9276284584980237,0.09770750988142292
DDQN,50,10,29000,100,1163.3285,1128.2507,1220.7086,0.9242588932806324,0.10018774703557312
DDQN,50,10,30000,100,1171.5582,1136.8195,1231.7572,0.9229249011857708,0.099901185770751
DDQN,50,10,31000,100,1179.8429,1145.1332,1252.1472,0.9145355731225296,0.10688735177865613
DDQN,50,10,32000,100,1177.0225,1141.4264,1254.3829,0.9099505928853755,0.11034584980237154
DDQN,50,10,33000,100,1149.6378,1113.5344,1247.0226,0.8929545454545454,0.12840909090909092
DDQN,50,10,34000,100,1105.5377,1068.0343,1212.1781,0.8810869565217392,0.14098814229249013
DDQN,50,10,35000,100,1062.5107,1023.7381,1183.8098,0.8647826086956522,0.15930830039525692
DDQN,50,10,36000,100,1008.58136,967.22345,1135.8766,0.8515217391304348,0.1716798418972332
DDQN,50,10,37000,100,953.73425,909.75635,1092.6967,0.8325790513833992,0.1874110671936759
DDQN,50,10,38000,100,869.66785,822.9486,1013.5501,0.8119466403162056,0.21097826086956523
DDQN,50,10,39000,100,790.0441,739.1131,930.46533,0.7943478260869565,0.23358695652173914
DDQN,50,10,40000,100,722.36475,666.65137,846.839,0.7872233201581028,0.23125494071146246
DDQN,50,10,41000,100,664.7486,604.4761,774.028,0.7809486166007905,0.19533596837944664
DDQN,50,10,42000,100,614.62915,549.5365,705.5977,0.7788241106719368,0.14279644268774705
DDQN,50,10,43000,100,570.3283,500.61517,641.28625,0.7806422924901186,0.07642292490118577
DDQN,50,10,44000,100,524.98456,451.00928,556.6115,0.8102766798418972,0.041936758893280635
DDQN,50,10,45000,100,497.5154,418.5453,454.57437,0.9207411067193676,0.024871541501976284
DDQN,50,10,46000,100,490.48422,407.51746,430.73996,0.9460869565217391,0.010009881422924902
DDQN,50,10,47000,100,518.5223,435.43066,455.3594,0.9562351778656126,0.0035869565217391303
DDQN,50,10,48000,100,576.5389,493.84616,509.46228,0.9693478260869566,0.000691699604743083
DDQN,50,10,49000,100,603.3575,523.8453,529.55945,0.9892094861660079,0.0003458498023715415
DDQN,50,10,50000,100,595.8564,517.1822,517.7296,0.9989426877470355,0.0002865612648221344
DDQN,50,10,51000,100,589.6713,512.24005,512.5794,0.9993379446640316,0.0001482213438735178
DDQN,50,10,52000,100,582.7229,506.4863,507.52948,0.9979446640316205,0.0002964426877470356
DDQN,50,10,53000,100,585.6557,508.80673,512.49347,0.9928063241106719,0.001590909090909091
DDQN,50,10,54000,100,581.7306,505.91968,521.94946,0.9692885375494071,0.021808300395256917
DDQN,50,10,55000,100,573.9431,497.40918,519.04285,0.9583201581027668,0.019851778656126483
DDQN,50,10,56000,100,548.5869,467.62695,484.53293,0.9651086956521739,0.0033399209486166008
DDQN,50,10,57000,100,515.27264,430.4222,441.44977,0.9750197628458498,0.001383399209486166
DDQN,50,10,58000,100,503.3776,414.54013,421.08524,0.9844565217391305,0.0011956521739130434
DDQN,50,10,59000,100,477.0634,392.6796,416.39172,0.9430533596837944,0.010424901185770752
DDQN,50,10,60000,100,454.6231,367.75882,386.4794,0.9515612648221344,0.0049505928853754945
DDQN,50,10,61000,100,420.12244,331.37033,353.3388,0.9378260869565217,0.0029644268774703555
DDQN,50,10,62000,100,381.48648,292.18884,319.16318,0.9154841897233201,0.0028458498023715413
DDQN,50,10,63000,100,343.27155,254.85051,286.0313,0.8909881422924901,0.0034782608695652175
DDQN,50,10,64000,100,304.12863,214.92075,246.98485,0.8701778656126482,0.0023221343873517787
DDQN,50,10,65000,100,274.4762,184.87016,215.79095,0.856709486166008,0.002223320158102767
DDQN,50,10,66000,100,251.34346,162.06209,190.19695,0.8520750988142293,0.0024604743083003955
DDQN,50,10,67000,100,230.66492,142.23027,170.30946,0.8351284584980238,0.0024110671936758894
DDQN,50,10,68000,100,218.62944,129.8379,157.26437,0.8256027667984189,0.0022035573122529645
DDQN,50,10,69000,100,206.76486,117.78584,144.06487,0.8175889328063242,0.002075098814229249
DDQN,50,10,70000,100,197.92584,108.22021,131.40108,0.8235869565217391,0.002223320158102767
DDQN,50,10,71000,100,189.72176,99.85656,120.92963,0.8257411067193676,0.002450592885375494
DDQN,50,10,72000,100,181.59308,91.25902,110.65277,0.8247332015810277,0.002934782608695652
DDQN,50,10,73000,100,175.21657,84.25337,101.287,0.8318280632411067,0.0029545454545454545
DDQN,50,10,74000,100,169.61168,78.01337,92.9496,0.839308300395257,0.0030632411067193677
DDQN,50,10,75000,100,161.54495,69.55482,82.58283,0.8422430830039526,0.0032905138339920947
DDQN,50,10,76000,100,151.91946,60.370186,73.277794,0.8238537549407114,0.003300395256916996
DDQN,50,10,77000,100,145.34332,54.628536,67.298965,0.8117292490118577,0.0030830039525691698
DDQN,50,10,78000,100,140.52364,50.167866,62.276756,0.8055632411067194,0.003567193675889328
DDQN,50,10,79000,100,135.01157,45.496357,57.318596,0.7937450592885376,0.004693675889328063
DDQN,50,10,80000,100,132.40826,43.12496,54.550346,0.7905533596837945,0.004911067193675889
DDQN,50,10,81000,100,131.67616,42.277946,53.47759,0.7905731225296443,0.004940711462450593
DDQN,50,10,82000,100,130.4632,40.510475,51.061928,0.7933596837944664,0.005820158102766798
DDQN,50,10,83000,100,130.48553,39.802937,49.488377,0.8042885375494071,0.00458498023715415
DDQN,50,10,84000,100,131.44252,39.537315,48.077194,0.8223715415019763,0.004071146245059288
DDQN,50,10,85000,100,132.41002,39.678356,47.1225,0.8420256916996047,0.003873517786561265
DDQN,50,10,86000,100,131.64809,38.728725,45.505543,0.8510770750988143,0.004387351778656127
DDQN,50,10,87000,100,130.06927,37.052353,43.632088,0.849199604743083,0.004258893280632411
DDQN,50,10,88000,100,130.62811,37.145348,42.400112,0.8760671936758894,0.003567193675889328
DDQN,50,10,89000,100,130.08253,36.76464,41.862614,0.8782213438735178,0.003863636363636364
DDQN,50,10,90000,100,131.5788,38.027985,43.22624,0.8797430830039525,0.003132411067193676
DDQN,50,10,91000,100,133.95801,40.536755,46.07432,0.8798122529644269,0.0036363636363636364
DDQN,50,10,92000,100,140.8876,47.33678,53.8069,0.8797529644268774,0.003735177865612648
